OBJECTID_1,GROWTH_RATE
752,-0.007
753,0.016
754,0.005
755,0.022
756,0.058
757,-0.083
758,0.048
759,0.01
760,-0.049
761,0.04
762,0.028
763,0.036
764,0.011
765,-0.008
766,-0.019
767,-0.014
768,0.007
769,0.012
770,-0.009
771,0.011
772,-0.008
773,-0.01
774,0.01
775,0.005
776,0.096
777,0.022
778,-0.001
779,0.007
780,-0.005
781,-0.001
782,0.016
783,0.015
784,0.013
785,-0.001
786,-0.021
787,-0.008
788,-0.017
789,0.033
790,0.038
791,-0.001
792,0.005
793,0.002
794,-0.007
795,-0.008
796,-0.004
797,0.031
798,0.015
799,0.021
800,0.013
801,0.012
802,0.014
803,-0.118
804,0.004
805,-0.013
806,0
807,0.042
808,0.006
809,0.008
810,-0.004
811,0.008
812,0.003
813,0.009
814,0.032
815,0.012
816,0.02
817,0.037
818,-0.013
819,0.013
820,0.152
821,0.012
822,-0.004
823,0.002
824,0.007
825,0.013
826,0.015
827,0.015
828,0.015
829,0.02
830,0.007
831,0.021
832,0.028
833,0.044
834,0.025
835,0.032
836,0.032
837,0.017
838,0.015
839,0.017
840,0.019
841,0.007
842,0.026
843,0.026
844,-0.004
845,0.004
846,0.01
847,0.032
848,0.018
849,0.02
850,0.031
851,0.001
852,0.02
853,0.017
854,0.004
855,0.014
856,0.039
857,0.014
858,0.017
859,0.017
860,0.006
861,0.015
862,-0.006
863,0.097
864,0.019
865,0.02
866,0.088
867,0.002
868,0.031
869,0.026
870,0.008
871,0.017
872,0.021
873,0.005
874,-0.017
875,0.003
876,0.013
877,0.007
878,0.003
879,0.011
880,0.001
881,0
882,0.002
883,-0.003
884,-0.006
885,0.008
886,-0.004
887,-0.003
888,0.014
889,-0.009
890,0.007
891,0.036
892,-0.002
893,0.002
894,0.015
895,0.071
896,-0.001
897,0.014
898,0.019
899,-0.013
900,0.014
901,0.037
902,0.018
903,0.032
904,0.027
905,0.043
906,0.01
907,0.018
908,0.02
909,0.011
910,-0.021
911,0.006
912,0.029
913,0.025
914,0.014
915,-0.016
916,-0.002
917,0.002
918,0.021
919,0.008
920,0.025
921,-0.009
922,-0.002
923,0.016
924,0
925,-0.004
926,-0.011
927,0.006
928,0.01
929,-0.001
930,-0.004
931,0.015
932,0.015
933,0.005
934,0.007
935,-0.013
936,0.002
937,0.002
938,0.006
939,-0.002
940,-0.026
941,0.007
942,-0.003
943,-0.007
944,-0.003
945,-0.004
946,-0.024
947,-0.007
948,-0.007
949,0.047
950,0.013
951,0.024
952,-0.011
953,0.067
954,0.01
955,0.017
956,0.015
957,0.024
958,0.002
959,0.016
960,0.007
961,0.026
962,0.016
963,0.025
964,0.022
965,0.047
966,0.028
967,-0.009
968,0.015
969,-0.006
970,-0.003
971,0.027
972,0.074
973,-0.008
974,0.007
975,0.019
976,0.019
977,0.013
978,0.017
979,0.022
980,0.047
981,0.023
982,0.014
983,0.022
984,0.024
985,0.002
986,0.02
987,0.019
988,0.021
989,0.009
990,0.033
991,0.014
992,0.015
993,0.016
994,0.009
995,0.015
996,0.016
997,0.006
998,0.015
999,0.016
1000,0.011
1001,0
1002,0.026
1003,0.019
1004,0.009
1005,0.012
1006,0.026
1007,0.014
1008,0.019
1009,0.013
1010,0.022
1011,-0.006
1012,0.061
1013,0.019
1014,-0.003
1015,0.004
1016,0.003
1017,-0.001
1018,-0.009
1019,0.011
1020,0.012
1021,-0.009
1022,-0.003
1023,0.009
1024,-0.001
1025,-0.004
1026,0.015
1027,0.021
1028,0.001
1029,0.012
1030,0.012
1031,-0.016
1032,0.011
1033,0
1034,0.041
1035,-0.002
1036,-0.003
1037,0.018
1038,-0.003
1039,0.015
1040,0.027
1041,0.008
1042,0.026
1043,0.03
1044,-0.013
1045,-0.006
1046,-0.061
1047,0.012
1048,0.02
1049,-0.003
1050,-0.003
1051,0.003
1052,0.024
1053,-0.01
1054,0.012
1055,0.023
1056,0.01
1057,0.032
1058,-0.002
1059,-0.018
1060,0.037
1061,0.006
1062,-0.001
1063,0.003
1064,0.002
1065,-0.005
1066,-0.008
1067,0.013
1068,0.016
1069,0.023
1070,0.025
1071,-0.007
1072,0.031
1073,0.013
1074,0.001
1075,0.016
1076,0.009
1077,0.001
1078,-0.045
1079,0.033
1080,0.001
1081,0.014
1082,0.001
1083,-0.003
1084,0.001
1085,0.022
1086,0.026
1087,0.01
1088,0.015
1089,0.007
1090,-0.003
1091,0.002
1092,0.004
1093,0.041
1094,0.047
1095,0.005
1096,-0.003
1097,0.001
1098,-0.003
1099,-0.005
1100,-0.008
1101,-0.01
1102,-0.044
1103,0.014
1104,0.016
1105,0.016
1106,0.005
1107,0.006
1108,0.016
1109,0.021
1110,0.016
1111,-0.003
1112,-0.003
1113,0.006
1114,0.039
1115,0.023
1116,-0.001
1117,0.011
1118,0.014
1119,0.017
1120,0.024
1121,-0.003
1122,0.023
1123,-0.004
1124,0.001
1125,0.017
1126,0.022
1127,0.02
1128,0.01
1129,0.002
1130,0.014
1131,0.022
1132,-0.006
1133,-0.008
1134,-0.003
1135,0.013
1136,-0.003
1137,0.024
1138,-0.045
1139,-0.003
1140,0.024
1141,0.006
1142,0.006
1143,-0.002
1144,0
1145,0.002
1146,0.032
1147,0.042
1148,0.024
1149,-0.003
1150,-0.003
1151,0.002
1152,0.018
1153,0.07
1154,0.002
1155,0.014
1156,0.001
1157,0.011
1158,0
1159,-0.004
1160,0.021
1161,0.003
1162,0.008
1163,-0.028
1164,0.003
1165,0.02
1166,0.024
1167,0.028
1168,0.083
1169,0.019
1170,-0.003
1171,0.008
1172,-0.004
1173,-0.005
1174,0
1175,0.024
1176,0.004
1177,0.018
1178,0.024
1179,0.022
1180,-0.006
1181,-0.003
1182,0.035
1183,0.025
1184,0.046
1185,0.007
1186,0.006
1187,0.016
1188,0.018
1189,-0.006
1190,0.003
1191,0.019
1192,0.003
1193,0.024
1194,0
1195,0.047
1196,-0.003
1197,0.004
1198,-0.003
1199,0.03
1200,0.043
1201,0.002
1202,0.017
1203,0.053
1204,-0.011
1205,0.009
1206,0.008
1207,-0.01
1208,0.016
1209,0.015
1210,0.015
1211,0.014
1212,0.017
1213,0.019
1214,0.05
1215,-0.017
1216,0.007
1217,0.007
1218,-0.005
1219,0
1220,0.005
1221,0.024
1222,0.024
1223,0.02
1224,-0.003
1225,0.002
1226,0.014
1227,0.02
1228,-0.003
1229,0.002
1230,0.024
1231,0.008
1232,0.025
1233,0.007
1234,0.011
1235,0.019
1236,0.009
1237,0.004
1238,0.013
1239,0.017
1240,0.02
1241,0.02
1242,0.02
1243,0.021
1244,0.031
1245,0.022
1246,0.015
1247,0.018
1248,0.033
1249,0.041
1250,0.032
1251,-0.004
1252,0.016
1253,0.032
1254,-0.017
1255,0.019
1256,0.053
1257,0.01
1258,0.024
1259,0.024
1260,-0.003
1261,-0.005
1262,0.022
1263,-0.003
1264,0.006
1265,0.021
1266,0.132
1267,-0.012
1268,0.013
1269,0.012
1270,0.04
1271,-0.003
1272,0.014
1273,0.003
1274,0.024
1275,0.024
1276,-0.001
1277,0.024
1278,0.021
1279,-0.003
1280,0.022
1281,0.014
1282,0.002
1283,-0.017
1284,-0.003
1285,-0.005
1286,0.021
1287,-0.012
1288,0.002
1289,-0.005
1290,0.011
1291,0.005
1292,0.004
1293,0.03
1294,0.009
1295,0.024
1296,0.015
1297,0.015
1298,0.014
1299,-0.018
1300,0.028
1301,0.021
1302,0.014
1303,0.029
1304,0.021
1305,0.015
1306,-0.007
1307,0.033
1308,0.005
1309,0.019
1310,0.024
1311,0.03
1312,0.018
1313,0.013
1314,0.016
1315,0
1316,0.013
1317,0.019
1318,0.023
1319,0.019
1320,-0.011
1321,-0.008
1322,-0.004
1323,-0.015
1324,-0.003
1325,-0.001
1326,0.009
1327,0
1328,-0.002
1329,-0.008
1330,0.001
1331,0.014
1332,0.016
1333,-0.001
1334,0.025
1335,0.013
1336,0.006
1337,-0.003
1338,0.015
1339,-0.021
1340,-0.008
1341,-0.012
1342,0.024
1343,0.014
1344,0.046
1345,0.02
1346,0.067
1347,0.013
1348,-0.001
1349,0.016
1350,0.01
1351,0.015
1352,0.027
1353,0.02
1354,0.015
1355,0.018
1356,0.024
1357,0.023
1358,0.013
1359,-0.019
1360,0.001
1361,-0.026
1362,0.013
1363,0.009
1364,0.016
1365,0.003
1366,-0.008
1367,-0.007
1368,-0.012
1369,-0.001
1370,0.005
1371,0.014
1372,0.016
1373,0.002
1374,0.024
1375,0.002
1376,0.03
1377,0.022
1378,0.014
1379,-0.003
1380,0.004
1381,-0.01
1382,0.024
1383,0.022
1384,-0.027
1385,-0.029
1386,0.018
1387,-0.009
1388,0.001
1389,0.012
1390,-0.009
1391,-0.006
1392,-0.004
1393,0
1394,0.001
1395,-0.003
1396,-0.001
1397,0.016
1398,0.016
1399,0.018
1400,-0.003
1401,0.006
1402,0.013
1403,0.024
1404,0
1405,-0.004
1406,-0.009
1407,0.006
1408,-0.001
1409,0.022
1410,-0.013
1411,0.009
1412,0.041
1413,0.02
1414,-0.003
1415,0.006
1416,0.051
1417,0.015
1418,0.036
1419,0.056
1420,0.022
1421,0.021
1422,0.021
1423,0.014
1424,0.02
1425,0.016
1426,0.009
1427,0.015
1428,0.037
1429,0.01
1430,-0.03
1431,0.026
1432,0.076
1433,0.025
1434,0.02
1435,0.007
1436,0.007
1437,0.035
1438,-0.006
1439,0.01
1440,0.002
1441,0.005
1442,0.024
1443,0.022
1444,0.018
1445,-0.01
1446,-0.016
1447,-0.007
1448,-0.021
1449,0.019
1450,0.06
1451,-0.007
1452,-0.004
1453,0.024
1454,0.024
1455,0.015
1456,0.004
1457,0.011
1458,0.034
1459,0.02
1460,0.025
1461,0.028
1462,0.019
1463,0.036
1464,0.065
1465,0.01
1466,0.03
1467,-0.001
1468,0.024
1469,-0.004
1470,0.091
1471,0.014
1472,-0.005
1473,0.001
1474,0.013
1475,0.024
1476,0.017
1477,0.016
1478,0.028
1479,-0.005
1480,0.004
1481,0.007
1482,-0.014
1483,0.027
1484,0.101
1485,-0.009
1486,-0.004
1487,0.007
1488,-0.019
1489,0.014
1490,0.012
1491,0.04
1492,0.015
1493,0.008
1494,0.017
1495,0.028
1496,0.011
1497,-0.026
1498,-0.004
1499,-0.005
1500,0.028
1501,-0.003
1502,-0.004
1503,0.019
1504,0
1505,-0.014
1506,-0.003
1507,-0.003
1508,0.038
1509,0.021
1510,0.018
1511,0.101
1512,0.03
1513,0.023
1514,0.052
1515,0.019
1516,0.017
1517,0.01
1518,-0.003
1519,-0.004
1520,-0.004
1521,-0.001
1522,0.005
1523,-0.005
1524,-0.006
1525,-0.011
1526,0.022
1527,0.004
1528,0.008
1529,0.017
1530,0.028
1531,0.009
1532,0.031
1533,0.013
1534,0.035
1535,0.008
1536,0.006
1537,0.018
1538,0.017
1539,0.014
1540,0.008
1541,0.005
1542,-0.003
1543,0.001
1544,0.033
