Stop_ID,Stop_name,Stop_lat,Stop_long,Pax_annual
20034,Pascoe Vale,-37.73075596,144.9281956,256800
20035,Strathmore,-37.74359132,144.9273157,151600
20036,Glenbervie,-37.74720985,144.9209387,131350
20037,Essendon,-37.7560117,144.9161975,723050
20038,Moonee Ponds,-37.76570666,144.9191607,436200
20039,Ascot Vale,-37.77530609,144.9218207,241200
20040,Newmarket,-37.78732767,144.9289785,339600
20041,Kensington,-37.79378022,144.9305244,242300
20042,Box Hill,-37.81922165,145.1214289,1387500
40220,Roxburgh Park,-37.63823121,144.9354037,280200
40221,Craigieburn,-37.6018169,144.9433203,696300
44817,Coolaroo,-37.66100253,144.9260556,114400
45793,Lynbrook,-38.05734118,145.2492751,203150
45794,Cardinia Road,-38.07129047,145.437791,194800
45795,South Morang,-37.6491588,145.0670324,347300
46468,Williams Landing,-37.86986533,144.7474447,633400
52095,Southland,-37.958758,145.049124,298200
52159,Middle Gorge,-37.644062,145.09214,115350
52160,Hawkstowe,-37.622992,145.097396,87950
52161,Mernda,-37.602549,145.100883,447850
19841,Flagstaff,-37.81198131,144.9556538,1681700
19842,Melbourne Central,-37.80993877,144.9625935,5491300
19843,Parliament,-37.81105406,144.9729109,2911250
19854,Flinders Street,-37.81830513,144.9669643,11392850
19908,Richmond,-37.82407446,144.9901643,1966800
19973,North Melbourne,-37.80630984,144.9415102,703500
19979,Jolimont,-37.81652702,144.9840983,473600
22180,Southern Cross,-37.81793643,144.9514112,6187150
20028,Showgrounds,-37.7835,144.915,8350
